,name,affiliation,Страна,Дата рождения,Дата пострига,Дата хиротонии,Дата смерти,День ангела,Епархия,Место работы,Образование,Биография,Награды,"Научные труды, публикации",E-mail,Web-сайт,link,image_link
0,"Августин, епископ Городецкий и Ветлужский (Анисимов Анатолий Иванович)",Епископат РПЦ,Россия,14 января 1945 г.,5 сентября 1993 г.,8 апреля 2012 г.,,,"Городецкая епархия 
 (Правящий архиерей)",,1977 г. — Всесоюзный юридический заочный институт. 2001 г. — Московская духовная семинария.,"Родился 14 января 1945 г. в Москве, крещен в младенчестве. Отец, Анисимов Иван Ильич, принадлежал к священническому роду, происходившему из Орловской губернии. По окончании школы проходил срочную службу в рядах Вооруженных сил. В 1977 г. окончил Всесоюзный юридический заочный институт по специальности правоведение. Работал консультантом в Инюрколлегии, инструктором в Московском обкоме профсоюза работников просвещения, высшей школы и научных учреждений; инспектором-искусствоведом в Художественном фонде РСФСР; заместителем начальника Управления механизации треста «Мострансстрой». В 1987 г. принят в службу эконома  Свято-Троицкой Сергиевой лавры , принимал участие в подготовке празднования 1000-летия Крещения Руси. В 1990 г. в г. Иваново  архиепископом Иваново-Вознесенским и Кинешемским Амвросием  рукоположен во диакона (22 мая) и во пресвитера (2 августа). 19 ноября 1991 г. назначен настоятелем Казанского храма г. Иваново. С апреля 1993 г. по май 2007 г. служил в Преображенском кафедральном соборе г. Иваново. Преподавал в Иваново-Вознесенской духовной семинарии догматическое богословие, церковное право, основное богословие, апологетику и миссиологию, а также основное богословие в Ивановском православном богословском институте. 5 сентября 1993 г. архиепископом Иваново-Вознесенским Амвросием пострижен в монашество с именем Августин в честь блаженного Августина, еп. Иппонийского. В 1995 г. возведен в сан игумена. В 2001 г. окончил  Московскую духовную семинарию . Занимался миссионерской деятельностью в  Иваново-Вознесенской епархии  и за ее пределами. В своей деятельности делал акцент на возрождение православного образа жизни через общинную жизнь приходов и коллективов. На конкурсе миссионерских проектов в рамках XV Рождественских образовательных чтений Синодальным миссионерским отделом была отмечена дипломом программа «Православная община как миссия для введения православного образа жизни в России». В 1995-2002 гг. преподавал предмет «Миссиология» на Курсах катехизаторов Братства Александра Невского в г. Нижний Новгород. В 1995 г. по приглашению правительства и Лютеранской Церкви Нижней Саксонии (Германия) находился в официальной командировке в г. Ганновер с целью изучения системы образования и взаимодействия Церкви и государства в социальной сфере. В 1996 г. выступал в Государственной Думе РФ на парламентских слушаниях по теме «Образование и национальная безопасность России». В 2001 г. по просьбе главы г. Иваново читал курс лекций «Православный образ жизни. Основы Православия» для аппарата городской администрации г. Иваново. Преподавал в Ивановском государственном университете, в частности читал авторский курс «Феноменология религии» на историческом факультете. В 2007-2008 гг. преподавал в Ивановском институте повышения квалификации учителей для подготовки их к ведению курса «Основы православной культуры». В течение 8 лет был председателем оргкомитета по проведению праздников «Рождественский подарок» и «Светлый праздник», целью которых было привлечение учащейся молодежи музыкальных и художественных школ и училищ, общеобразовательных школ к православным ценностям. Принимал участие в VI кинофестивале «Золотой витязь» в качестве члена жюри. В 2002 г. по благословению  Святейшего Патриарха Алексия II  включен в состав рабочей группы Общественно-политического экспертного совета по разработке Образовательной концепции Русской Православной Церкви. В мае 2006 г. по приглашению дирекции Российского центра науки и культуры г. Варшавы участвовал в церемонии открытия Года русской культуры в Польше в г. Лодзь. В 2007 г. вошел в состав комиссии по канонизации Иваново-Вознесенской епархии. В 2008 г. по приглашению председателя Синодального миссионерского отдела  архиепископа Белгородского и Старооскольского Иоанна  участвовал в рабочем семинаре по разработке концепции учебного пособия и методологии преподавания предмета «Миссиология». Указом  епископа Иваново-Вознесенского и Кинешемского Иосифа  от 15 октября 2008 г. почислен за штат с правом перехода в  Нижегородскую епархию . В декабре 2008 г. назначен строителем восстанавливаемого Феодоровского мужского монастыря. Определением Священного Синода от 27 мая 2009 г. ( журнал № 45 ) назначен наместником Феодоровского мужского монастыря в г. Городец Нижегородской области. Являлся духовником Свято-Елизаветинского отделения сестер милосердия Нижегородского медицинского колледжа; духовным попечителем, лектором-консультантом кафедры международно-политических коммуникаций факультета международных отношений Нижегородского государственного университета им. Лобачевского. Решением Священного Синода от 15 марта 2012 г. ( журнал № 7 ) избран епископом Городецким и Ветлужским. 18 марта 2012 г.  возведен  в сан архимандрита. Наречен  29 марта 2012 г.  Хиротонисан  за Божественной литургией в Храме Христа Спасителя 8 апреля. Богослужения возглавил Святейший Патриарх Московский и всея Руси Кирилл. Решением Священного Синода от 7 марта 2018 г. ( журнал № 13 ) утвержден в должности священноархимандрита Городецкого Феодоровского мужского монастыря г. Городца Нижегородской области.",,Слово  архимандрита Августина (Анисимова) при наречении во епископа Городецкого и Ветлужского.,gor.eparchia@gmail.com,www.egiv.ru,http://www.patriarchia.ru/db/text/2147951.html,http://p2.patriarchia.ru/2017/11/29/1236714685/12.jpg
1,"Августин, митрополит Белоцерковский и Богуславский (Маркевич Адам Иванович)",Епископат РПЦ,Украина,7 апреля 1952 г.,16 сентября 1992 г.,20 сентября 1992 г.,,28 июня,"Белоцерковская епархия 
 (Правящий архиерей)",,1975 г. — Московская духовная семинария. 1982 г. — Московская духовная академия (кандидат богословия).,"Родился 7 апреля 1952 г. в с. Глушковичи Лельчицкого р-на Гомельской обл. в семье православного священника. В 1955 г. отец был направлен на пастырское служение в Житомирскую обл. После окончания средней школы и медицинского училища в 1971 г. работал на станции скорой медпомощи в г. Ровно. В 1971-1973 гг. проходил срочную службу в Вооруженных силах. В 1973-1975 гг. обучался в Московской духовной семинарии, в 1975-1982 гг. — в Московской духовной академии. Кандидат богословских наук. В 1975 г.  архиепископом Дмитровским Владимиром  (Сабоданом) рукоположен во диакона, а в 1976 г. — во пресвитера. В 1977-1978 гг. — настоятель Свято-Георгиевской церкви в с. Белиловка Житомирской обл. В 1978-1992 гг. совершал пастырское служение в г. Коростене Житомирской обл. в Покровской церкви cначала вторым священником, а потом настоятелем. В 1990 г. назначен настоятелем новообразованного Свято-Ольгинского прихода. С 1989 г. — благочинный Коростенского округа. Решением Священного Синода Украинской Православной Церкви от 16 сентября 1992 г. избран епископом Львовским и Дрогобычским после пострига в монашество и возведения в сан архимандрита. Хиротонисан 20 сентября 1992 г. за Божественной литургией в Трапезной церкви  Киево-Печерской лавры . Богослужение совершили Блаженнейший митрополит Киевский и всея Украины Владимир,  архиепископ Ровенский и Острожский Ириней , епископы  Луганский и Старобельский Иоанникий ,  Переяслав-Хмельницкий Антоний  и  Белоцерковский Ипполит . В 1998 г. возведен в сан архиепископа. Решением Синода УПЦ от 5 ноября 1998 г. присвоен титул Львовский и Галицкий. С 26 февраля 1994 г. — член  Синодальной богословской комиссии  Русской Православной Церкви. В 1996-2007 гг. — председатель Синодальной богословской комиссии УПЦ. В 1995-2002 гг. — духовник Союза православных братств Украины, в 1997-2001 гг. — духовник Союза православной молодежи Украины. С 1997 г. — ответственный за деятельность комитета взаимопомощи и защиты Православия в западных областях Украины (входят епархии:  Львовская ,  Владимир-Волынская ,  Волынская ,  Ивано-Франковская ,  Тернопольская ,  Ровенская ,  Сарненская ,  Хустская ,  Мукачевская ). В 1996-1999 гг. — ответственный за связи Украинской Православной Церкви с Министерством обороны, Министерством внутренних дел и другими вооруженными формированиями Украины, а с 1999 г. — председатель отдела УПЦ по взаимодействию с Вооруженными силами и другими воинскими формированиями Украины. Возглавлял  делегацию УПЦ на переговорах с УГКЦ в г. Вене (Австрия) в 1998 г., а также делегацию Русской Православной Церкви на переговорах с Эфиопской Церковью в г. Аддис-Абебе (Эфиопия) в 2007 г., был членом комиссии по диалогу между Русской Православной Церковью и Римско-Католической Церковью в Женеве в 1994 году и Москве в 1995 году. Принимал участие в международных конференциях, совещаниях, встречах, переговорах: церковных, научных, военных, по тюремному служению (в т.ч. в гг. Москва, Минск, Яссы, Варшава, Багдад, Таллин, Вашингтон, Торонто, Лондон, Штутгарт, Страсбург, Белград, София, Афины и о. Родос, Йоханнесбург, Аддис-Абеба и др.). Постоянный участник Международных общеобразовательных Рождественских чтений и  Всемирного русского народного собора . По благословению Предстоятеля Украинской Православной Церкви митрополита Киевского и всея Украины Владимира был председателем оргкомитетов международных юбилейных церковно-светских конференций в Почаеве и в Киеве, членом оргкомитетов международных юбилейных церковно-светских конференций в Крыму и Запорожье, а также ответственным за организацию и проведение ряда профильных церковно-светских научно-практических конференций. С 1999 г. — председатель Попечительского совета украинского отделения  Международного фонда единства православных народов . С 2001 г. — член Совета Собора славянских народов Беларуси, России и Украины и председатель Всеукраинской общественной организации «Путь православных». В 2003-2009 гг. — полномочный представитель Предстоятеля УПЦ в Верховной Раде Украины. С 2004 г. — преподаватель сравнительного богословия в Почаевской духовной семинарии. Решением Синода УПЦ от 24 ноября 2009 г.  назначен  полномочным представителем Украинской Православной Церкви в Верховной Раде Украины.  Освобожден  от должности решением Синода УПЦ от 10 февраля 2011 г. ( журнал № 13 ). Решением Синода УПЦ от 10 февраля 2011 г. ( журнал № 6 )  назначен  председателем Синодальной богословско-канонической комиссии УПЦ. Решением Синода УПЦ от 20 июля 2012 г. ( журнал № 66 )  назначен  Преосвященным Белоцерковским и Богуславским. 23 ноября 2013 г. Блаженнейшим митрополитом Киевским Владимиром  возведен  в сан митрополита. *** Председатель Синодальной богословско-канонической комиссии Украинской Православной Церкви. Член  Синодальной библейско-богословской комиссии  Русской Православной Церкви.",Церковные: 1998 г. — орден прп. Нестора Летописца (УПЦ); 1999 г. — орден св. равноап. князя Владимира II ст.; 2000 г. — орден «Рождество Христово — 2000» I ст.; 2001 г. — орден св. равноап. Марии Магдалины (Польская Православная Церковь); 2002 г. — орден прпп. Антония и Феодосия Киево-Печерских II ст. (УПЦ); 2002 г. — орден св. равноап. кн. Владимира II ст.; 2007 г. — орден прп. Сергия Радонежского II ст.; 2007 г. — орден св. ап. Иоанна Богослова II ст.; 2012 г. —  орден  свт. Иннокентия Московского II ст.; 2013 г. —  орден  прп. Евфросинии Полоцкой (БПЦ). Светские: 1996 г. — лауреат премии Фонда Андрея Первозванного; 2004 г. — орден Дружбы; 2007 г. — грамота Верховного Совета Украины; 2007 г. — почетная грамота Кабинета министров Украины; ряд ведомственных наград силовых структур и общественных организаций.,,,www.bc-eparchy.org.ua,http://www.patriarchia.ru/db/text/52361.html,http://p2.patriarchia.ru/2013/12/06/1234619995/2.jpg
2,"Агапит, архиепископ Штутгартский (РПЦЗ), викарий Берлинской епархии (Горачек Александр Владимирович)",Епископат РПЦ,Германия,29 сентября 1955 г.,29 марта 1983 г.,1 мая 2001 г.,,3 марта,"Берлинская и Германская епархия (РПЦЗ) 
 (Викарный архиерей)",,,"Родился 29 сентября 1955 г. в Германии в чешской семье. Окончив гимназию во Франкфурте-на-Майне, учился на архитектурном факультете в Дармштадте, но, желая принять монашеский постриг, оставил учебу. В 1979 г. вступил в монашескую общину при Елисаветинской церкви в Висбадене, организованную настоятелем храма  архимандритом Марком (Арндтом) , переехавшую после архиерейской хиротонии своего духовного руководителя 30 ноября 1980 г. в монастырь прп. Иова Почаевского в Мюнхене. 9 ноября 1981 г. пострижен в рясофор, а 29 марта 1983 г. — в мантию, 25 декабря того же года рукоположен во иеродиакона, 8 апреля 1991 г. — во иеромонаха. В 1995 г. возведен в сан игумена. В монастыре нес различные послушания, в том числе связанные с издательской деятельностью. 20 октября 2000 г. на Архиерейском Соборе  Русской Зарубежной Церкви  избран епископом Штутгартским, викарием  Берлинско-Германской епархии . Наречен во епископа 30 апреля 2001 г. Хиротонисан 1 мая в кафедральном соборе Новомучеников и исповедников Российских в Мюнхене. Решением Архиерейского Собора РПЦЗ от 10-17 мая 2011 г.  назначен  председателем новообразованного Издательского совета Русской Зарубежной Церкви. 13 июня 2017 г. на Архиерейском Соборе РПЦЗ возведен в сан архиепископа. Тезоименитство 3 марта (в високосные годы 2 марта).",Церковные: 2015 г. —  орден  прп. Серафима Саровского II ст.,"Слово  при наречении во епископа Штутгартского, викария Берлинско-Германской епархии.",agapit@rocor.de,www.rocor.de,http://www.patriarchia.ru/db/text/424847.html,
3,"Агапит, митрополит Могилев-Подольский и Шаргородский (Бевцик Иван Васильевич)",Епископат РПЦ,Украина,6 марта 1965 г.,1985 г.,22 ноября 1998 г.,,14 июня,"Могилев-Подольская епархия 
 (Правящий архиерей)",,1994 г. — Киевская духовная семинария. 1998 г. — Киевская духовная академия.,"Родился 6 марта 1965 г. в с. Давыдовка Черновицкой обл. Украины. В 1985 г. поступил послушником в вильнюсский Свято-Духов монастырь, в 1988 г. переведен в  Киево-Печерскую лавру . В том же году принял монашеский постриг с именем Агапит в честь прп. Агапита Печерского, рукоположен во иеродиакона, в 1990 г. — во иеромонаха. В 1990-1994 гг. учился в Киевской духовной семинарии, в 1994-1998 гг. — в  Киевской духовной академии . В сентябре 1992 г. назначен настоятелем Свято-Троицкого храма возрождающегося Ионовского монастыря в Киеве, 22 июля 1994 г. по возведении в сан архимандрита назначен наместником монастыря. Решением Священного Синода УПЦ от 5 ноября 1998 г. избран епископом Хустским и Виноградовским. Хиротонисан 22 ноября за Божественной литургией в Трапезном храме  Киево-Печерской лавры . С 26 июля 2000 г. — епископ Мукачевский и Ужгородский. Решением Синода УПЦ от 14 декабря 2007 г.  освобожден  от управления  Мукачевской епархией  и назначен епископом Северодонецким и Старобельским. 20 июля 2012 г. возведен в сан архиепископа. Решением Синода УПЦ от 20 декабря 2012 г. ( журнал № 107 )  освобожден  от управления  Северодонецкой епархией  и почислен на покой. Постоянным местом пребывания Синод определил Свято-Троицкий Ионинский мужской монастырь г. Киева. Решением Синода УПЦ от 5 января 2013 г. ( журнал № 18 )  назначен  правящим архиереем новообразованной  Могилев-Подольской епархии . 17 августа 2015 г. за Литургией в Киево-Печерской лавре  митрополитом Киевским и всея Украины Онуфрием   возведен  в сан митрополита.",Церковные: 2008 г. —  орден  прп. Сергия Радонежского II ст.,Слово  архимандрита Агапита (Бевцика) при наречении во епископа Хустского и Виноградовского.,,,http://www.patriarchia.ru/db/text/67725.html,http://p2.patriarchia.ru/2017/09/15/1234635359/6.jpg
4,"Агафангел, епископ Норильский и Туруханский (Дайнеко Андрей Михайлович)",Епископат РПЦ,Россия,30 сентября 1975 г.,17 января 1996 г.,6 июля 2014 г.,,,"Норильская епархия 
 (Правящий архиерей)",,2003 г. — Московская духовная семинария (заочно). 2010 г. — Московская духовная академия (заочно). 2010 г. — Православный Свято-Тихоновский гуманитарный университет (заочно).,"Родился 30 сентября 1975 г. в г. Норильске Красноярского края в православной семье. В 1992 г. закончил среднюю школу № 17 г. Норильска. С 1992 г. в храме в честь иконы Божией Матери «Всех скорбящих Радость» г. Норильска был псаломщиком и исполнял другие церковные послушания. 16 июля 1995 г.  епископом Красноярским и Енисейским Антонием  пострижен в рясофор с наречением имени Филипп в честь митрополита Московского и всея России, чудотворца, и рукоположен в сан диакона с назначением в клир храма в честь иконы Божией Матери «Всех скорбящих Радость» г. Норильска. 17 января 1996 г. в Покровском кафедральном соборе г. Красноярска принял монашеский постриг с именем Агафангел в честь св. мч. Агафангела. 18 января 1996 г. епископом Красноярским и Енисейским Антонием рукоположен в сан иеромонаха с оставлением в клире храма в честь иконы Божией Матери «Всех скорбящих Радость» г. Норильска. Решением Священного Синода от 17 февраля 1997 г. назначен наместником Свято-Троицкого Туруханского мужского монастыря  Красноярской епархии . 30 мая 1999 г. возведен в сан игумена. В 2003 г. заочно окончил  Московскую духовную семинарию . 21 января 2009 г. назначен благочинным Туруханского благочиния Красноярской епархии. В 2010 г. заочно окончил  Московскую духовную академию  и  Православный Свято-Тихоновский гуманитарный университет . Решением Священного Синода от 15 марта 2012 г. ( журнал № 15 ) утвержден в должности настоятеля (игумена) Свято-Троицкого Туруханского мужского монастыря  Енисейской епархии . Решением Священного Синода от 30 мая 2014 г. ( журнал № 37 ) избран епископом Норильским и Туруханским. 5 июня 2014 г. за Литургией в Иоанно-Предтеченском храме Красноярска  митрополитом Красноярским и Ачинским Пантелеимоном   возведен  в сан архимандрита. Наречен  во епископа 7 июня 2014 г. в Тронном зале Патриарших покоев  Троице-Сергиевой лавры .  Хиротонисан  6 июля за Божественной литургией в Смоленском соборе  Новодевичьего монастыря  г. Москвы. Богослужения возглавил Святейший Патриарх Московский и всея Руси Кирилл.",,Слово  архимандрита Агафангела (Дайнеко) при наречении во епископа Норильского и Туруханского.,norilskeparhia@mail.ru,http://norilskeparhia.ru,http://www.patriarchia.ru/db/text/3667680.html,http://p2.patriarchia.ru/2014/07/25/1235350578/20140707-VSN_5189-obr.jpg
5,"Агафангел, митрополит Одесский и Измаильский (Саввин Алексей Михайлович)",Епископат РПЦ,Украина,2 сентября 1938 г.,2 апреля 1961 г.,16 ноября 1975 г.,,5 февраля,"Одесская епархия 
 (Правящий архиерей)",,,"Постоянный член Священного Синода Украинской Православной Церкви Родился 2 сентября 1938 г. в с. Бурдино Тербунского района Липецкой области (Россия) в крестьянской семье. В 1965 г. поступил в число братии Свято-Троице-Сергиевой лавры. 2 апреля 1965 г. принял постриг с именем Агафангел. 18 апреля 1965 г. архиепископом Минским и Белорусским Сергием (Петровым, †1990) рукоположен в иеродиакона, 22 апреля 1965 г. — в иеромонаха. С 1966 г. — старший помощник инспектора и преподаватель Одесской духовной семинарии, одновременно делопроизводитель Одесского епархиального управления. 7 апреля 1967 г. возведен в сан игумена. С 29 мая 1967 г. по ноябрь 1975 г. — ректор ОДС. 1 июня 1967 г. возведен в сан архимандрита. С января 1968 г. — член епархиального совета Одесской епархии. Активно участвовал во многих международных форумах; в июле 1969 г. — член делегации Русской Православной Церкви на конференции представителей всех религий в СССР за сотрудничество и мир между народами. В сентябре 1969 г. участвовал в четырех собеседованиях богословов Русской Православной Церкви и Евангелической Церкви в Германии (ФРГ). В 1987 и в 1989 гг. — член делегации в международных «Круизах мира по Днепру». В 1988 г. — член делегации в «Круизе мира» по р. Миссисипи (США). В 1992 г. — член международной встречи «Люди и религия» в Лювене, Бельгия, под девизом «Европа и религия». В 1971 г. — член Поместного Собора Русской Православной Церкви. Член Архиерейских Соборов Русской Православной Церкви 1988, 1990, 1991, 1992, 1994 и 1996 гг., на последних двух был избран председателем Мандатной комиссии. 11 ноября 1975 г. на заседании Священного Синода Русской Православной Церкви избран епископом Винницким и Брацлавским. Хиротонисан 16 ноября 1975 г. С 1975 г. по 1992 г. — управляющий Хмельницкой епархией. 7 сентября 1981 г. возведен в сан архиепископа. 10 марта 1989 г. возведен в сан митрополита. В 1998 г. удостоен права ношения второй панагии. С миссией мира во главе делегаций религиозных деятелей СССР посетил Канаду, а также в составе делегации Советского комитета защиты мира и Украинского фонда культуры трижды посетил США, Италию, Бельгию, дважды — ФРГ, Францию, Болгарию, Швейцарию. Во главе паломнической делегации посетил Святую Гору Афон, трижды Иерусалим, Кипр. Народный депутат Украины 1-го созыва (1990-1994 гг.). Член правления и президиума Украинского республиканского фонда мира, член Винницкого областного комитета защиты мира, член правления и президиума Украинского республиканского фонда культуры, член президиума Одесского областного совета мира, член Ассоциации народных депутатов Украины. В 1991 г. встал в оппозицию сепаратистскому курсу митр. Киевского Филарета (Денисенко, впосл. анафематствован), что закончилось конфликтом, в результате которого 7 августа 1991 г. архиепископ Агафангел был переведен на Ивано-Франковскую и Коломыйскую кафедру. Не принял назначения и 7 сентября 1991 г. был почислен на покой. После Архиерейского Собора Русской Православной Церкви 31 марта — 5 апреля 1992 г. был возвращен на Винницкую и Брацлавскую кафедру. Решением Синода УПЦ от 20 июня 1992 г. переведен на Одесскую и Измаильскую кафедру, назначен постоянным членом Синода Украинской Православной Церкви. В 1993-1998 гг. — ректор Одесской духовной семинарии. С 27 августа 1995 г. по  8 мая 2008 г.  — председатель Учебного комитета при Священном Синоде Украинской Православной Церкви. Награжден многочисленными орденами Русской Православной Церкви, других Поместных Православных Церквей, имеет государственные награды. Ученым советом Киевской духовной академии от 27 декабря 1999 г. митрополиту Агафангелу присвоена степень доктора богословия. Ученым советом Одесской национальной юридической академии 2 сентября 2003 г. митрополиту Агафангелу присвоено звание почетного доктора. За период пребывания митрополита Агафангела на Одесской кафедре открыты: Свято-Пантелеимоновский, Свято-Ильинский, Свято-Иверский, Свято-Константино-Еленинский, Свято-Николаевский мужские монастыри, а также Свято-Архангело-Михайловский и Спасо-Преображенский женские монастыри. В епархии открыто более 300 храмов, построено около 20 новых храмов в Одессе и Одесской области и строятся новые храмовые сооружения. Одесской митрополии возвращено трехэтажное здание Свято-Андреевского Афонского подворья в Одессе, восстановлены все ранее разрушенные колокольни на городских храмах, восстановлен Спасо-Преображенский кафедральный собор. В 1995-1997 гг. по представлению митрополита Агафангела решением Священного Синода УПЦ причислены к лику святых преподобный Кукша Одесский, преподобный Гавриил Афонский, праведный Иона Одесский, архиепископ Иннокентий Херсонский (Борисов), священномученик Анатолий Одесский (Грисюк). Митрополит Агафангел — почетный гражданин гг. Гринвилль (Миссисипи) и Батон Руж (Луизиана), США. В июне 2004 г. на сессии Одесского городского совета избран почетным гражданином г. Одессы. С 2001 г. в составе делегации Русской Православной Церкви, по благословению Предстоятеля УПЦ  Блаженнейшего митрополита Владимира , представляет Украинскую Православную Церковь на переговорах с представителями  Константинопольской Православной Церкви  по уврачеванию церковных расколов и нестроений на Украине. Участник двух международных церковных конференций, посвященных 2000-летию Рождества Христова, проходивших в 1997 и 1998 гг. в Симферополе и Почаевской лавре. Под патронатом митрополита Агафангела 20-23 января 1999 г. в Одессе проходила международная конференция  Фонда единства православных народов  «Православие и угроза системного кризиса мирового постиндустриального общества, глобальной экономики и государственных институтов власти». Большое внимание митрополит Агафангел уделяет подготовке кадров священнослужителей для Украинской Православной Церкви, религиозному образованию мирян и духовно-нравственному воспитанию юного поколения. Все масштабнее становится благотворительная деятельность Одесской митрополии. Одесская духовная семинария, монастыри и приходы опекают детей-сирот, стариков, инвалидов, бездомных. Совместно с государственными больничными учреждениями в Киевском и Приморском районах г. Одессы созданы отделения милосердия, устроены приюты. Имеются хорошие контакты с военнослужащими. Духовенство митрополии, насельники монастырей и преподаватели семинарии присутствуют при принятии присяг в войсковых частях, посещают тюрьмы и больницы. По благословению митрополита Агафангела в Одесской митрополии возрождается миссионерская деятельность. В теле- и радиоэфире еженедельно звучит пастырское слово. Во многих храмах и монастырях действуют воскресные школы для взрослых и детей. В Свято-Успенском Патриаршем мужском монастыре вошло в традицию проведение внебогослужебных бесед с прихожанами. Имя митрополита Агафангела внесено в информационный биографический справочник «Украина: 10 лет независимости. 500 влиятельных личностей».","Церковные: 1968 г. — орден св. кн. Владимира III ст.; 1969 г. — орден св. ап. и евангелиста Марка  Александрийской Православной Церкви  II ст.; 1969 г. — орден св. кн. Владимира II ст.; 1985 г. — орден прп. Сергия Радонежского II ст.; 1981 г. — орден св. ап. и ев. Марка Александрийской Православной Церкви I ст.; 1981 г. — орден св. равноап. Нины  Грузинской Православной Церкви  II ст.; 1981 г. — орден Святого Креста  Иерусалимской Православной Церкви ; 1988 г. — орден св. кн. Владимира I ст.; 1998 г. — орден св. кн. Даниила Московского II ст.; 2000 г. — юбилейный орден «Рождество Христово — 2000» I ст.; 2000 г. — орден свт. Иннокентия Московского II ст.; 2001 г. — орден прп. Нестора Летописца УПЦ II ст.; 2003 г. — орден прп. Нестора Летописца УПЦ I ст.; 2008 г. —  орден  свт. Алексия Московского II ст.; 2013 г. —  орден  прп. Сергия Радонежского I ст.; 2015 г. —  орден  прп. Серафима Саровского I ст.; орден Стефана Великого Молдавской митрополии II ст.; орден  Антиохийской Церкви  и медали других Церквей. Светские: 1988 г. — почетная грамота Президиума Верховного Совета УССР; 1988 г. — медаль мира ООН; 1989 г. — почетная грамота Президиума Верховного Совета Грузинской ССР; 1990 г. — золотой знак отличия Одесской областной госадминистрации и почетная грамота; 1998 г. — почетная грамота и медаль Кабинета Министров Украины; 1999 г. — знак отличия Президента Украины — орден «За заслуги» II ст.; 2000 г. — орден Почета Приднестровской Молдавской Республики; 2003 г. — знак отличия Президента Украины — орден «За заслуги» I ст.; 2003 г. — орден Дружбы Российской Федерации; 2003 г. — орден «Чернобыльский крест» (награда Всеукраинской общественной организации «Союз чернобыльцев Украины»); 2003 г. — орден Суворова ПМР; 2004 г. — орден св. Георгия Победоносца (награда Российской Палаты личности при Президенте РФ) I ст.; 2013 г. —  Почетная грамота  Президента России; 2013 г. — государственный орден Украины князя Ярослава Мудрого IV ст.; орденский знак «Слава на верность Отчизне» III ст.; серебряная медаль «10 лет независимости Украины» II ст.; орден «Казацкая слава» I ст.; орден Г. Маразли III степени (награда Одесской городской мэрии); знак отличия Министра Внутренних дел Украины; памятная медаль Президиума Верховного Совета Армянской ССР; почетная медаль «Борцу за мир» Советского КЗМ; золотая медаль Советского фонда мира; почетная медаль Советского Комитета защиты мира; почетная грамота, почетная медаль и почетный знак Советского фонда мира; шесть почетных грамот Украинского Совета мира с вручением памятных медалей; почетная грамота общества «Украина»; почетные грамоты Винницкого и Хмельницкого областных отделений фонда мира; почетные грамоты Винницкой и Хмельницкой областных организаций Украинского общества охраны памятников истории и культуры.",,,www.pravoslav.odessa.net,http://www.patriarchia.ru/db/text/53998.html,http://p2.patriarchia.ru/2011/06/16/1234620476/1AgafangelSavvin.jpg
