,name,address,longtitude,latitude,telephone,email,website,problems_solving,audience,description
0,"Благотворительный фонд ""Фонд продовольствия ""Русь""","127006, г. Москва, Старопименовский переулок, дом 18, строение 2",37.604717,55.770097,8(495)212-14-92,info@foodbankrus.ru,http://foodbankrus.ru/,"['Социальная помощь', 'Помощь в тяжелой жизненной ситуации', 'Нефинансовая/гуманитарная помощь', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Взрослый (18-59 лет)', 'Пожилой (старше 60 лет)', 'Инвалид', 'Беженец/мигрант', 'Малоимущий/безработный/многодетная семья', 'Бездомный', 'Пострадавший от стихийных бедствий/катастроф/войн']","
Описание благотворительной организации
«Фонд продовольствия «Русь» - это всероссийский благотворительный фонд (зарегистрирован 25.10.2012), который передает еду социально незащищенным категориям населения во всех регионах Российской Федерации.
За 2012-2014 гг. было получено в виде пожертвований и передано нуждающимся порядка 7 000 тонн продовольствия от российских производителей, из которых 2 000 тонн составила молочная продукция. Работа идет с крупнейшими российскими производителями товаров народного потребления, которые по договорам пожертвования на постоянной основе передают свою продукцию в Фонд продовольствия «Русь» с заводов и складов по всей стране.
В декабре 2013 года  Фондом продовольствия «Русь» и службой помощи «Милосердие» при поддержке Синодального отдела по церковной благотворительности и социальному служению Русской Православной Церкви запущен проект по фасовке «Народных обедов».
Суть проекта – в постоянном обеспечении нуждающихся качественными и питательными обедами. В рамках проекта Фонд продовольствия оснащает специальные помещения на территории Епархий оборудованием для фасовки-контейнерами, весами, запайщиками - такие помещения называют цехами фасовки. В назначенный день в цехе фасовки собираются добровольцы, чтобы в течение нескольких часов формировать продуктовые наборы по заданному рецепту: например, гречка, сушеный лук, морковь и грибы. После фасовки пакеты с обедами направляются в семьи нуждающихся. Ингредиенты для фасовки Фонд продовольствия «Русь» закупает на пожертвования российских граждан.
Первый цех заработал в Москве в декабре 2013 года. 
Сейчас фасовки идут в 15 городах: Ростове-на-Дону, Москве, Вырице (Санкт-Петербург), Тихвине (Санкт-Петербург), Воронеже, Нижнем Новгороде, Великом Новгороде, Екатеринбурге, Твери, Смоленске, Хабаровске, Владивостоке, Сергиевом-Посаде, Боровске и Белгороде. Кроме того, успешно стартовал проект по  фасовке «Народных обедов» в гимназии Святителя Василия Великого с участием гимназистов с 1 по 5 классы. Ожидается запуск цеха в Шахтах.  
В Ростове-на-Дону действует первый в России экстренный цех фасовки «Народных обедов» для беженцев из Украины. Гречка с луком, морковью и грибами, а также геркулесовая каша с изюмом после расфасовки в пакеты, в каждом из которых по шесть порций, направляются на склад гуманитарной помощи Ростовской-на-Дону епархии и в сельские поселения, где размещены беженцы.
Цех в Ростове-на-Дону работал в ежедневном режиме более двух месяцев, задействовано в работе цеха более 1 000 добровольцев, расфасовано более 400 000 порций «Народных обедов».
"
1,"Благотворительный фонд ""Помоги делом""","185035, Республика Карелия, Петрозаводск, ул. Германа Титова, д. 12",34.374448,61.789228,8(906)208-80-80,fond@pomogi-delom.ru,http://pomogi-delom.ru/,"['Неврологические и психоневрологические заболевания', 'Социальная помощь', 'Онкологические заболевания', 'Заболевания опорно-двигательного аппарата', 'Лечение заболеваний', 'Помощь в тяжелой жизненной ситуации', 'Нефинансовая/гуманитарная помощь', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Взрослый (18-59 лет)', 'Инвалид', 'Малоимущий/безработный/многодетная семья']","
Описание благотворительной организации
28 декабря 2009 года в Петрозаводском городском округе был зарегистрирован Благотворительный фонд ""Помоги делом"". По соображениям организаторов Фонд призван оказывать реальную адресную помощь людям, которых постигла беда, будь то тяжелые болезни и травмы, врожденные или приобретенные, требующие дорогостоящего лечения, или какая-то другая трудная жизненная ситуация. Нуждающихся в подобной помощи людей очень много, и цель Фонда — помочь им.
В настоящее время основными программами, реализуемыми Фондом, являются:
- Помощь онкобольным;
- Помощь детям, больным детским церебральным параличом (до 4-х лет);
- Помощь глухим, слепым, немым детям;
- Помощь многодетным семьям.
Источник информации: http://pomogi-delom.ru/program
"
2,"Благотворительный фонд ""Восточный благотворительный фонд""","680000, Хабаровский край, Хабаровск, ул. Фрунзе, д. 22",135.069698,48.471563,8(4212)41-38-61 (внутр.37058),None,http://www.vostfond.ru/,"['Социальная помощь', 'Помощь в тяжелой жизненной ситуации']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)']","
Описание благотворительной организации
Приоритетным направлением наш фонд выбирает адресную и целевую помощь детям. Мы помогаем конкретным детям! Мы помогаем конкретным делом!
Источник информации: http://www.vostfond.ru/
"
3,"Благотворительный фонд ""Мои друзья""","125284, Москва, 1-й Боткинский пр-д, д. 6",37.558589,55.783286,8(495)945-95-51,info@my-friends.su,http://www.my-friends.su/,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации', 'Нефинансовая/гуманитарная помощь', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Сирота']","
Описание благотворительной организации
Фонд создан с целью поддержки проектов, направленных, в первую очередь, на помощь детям-сиротам, разработку и реализацию программ по развитию и подготовке будущего поколения, укрепления семейных ценностей. Наши дети имеют право на счастливое будущее и все радости настоящего. Мы так же оказываем поддержку всем нуждающимся, всем обратившимся к нам.
Принципиальной позицией благотворительного фонда ""Мои друзья"" является оказание не единовременной адресной материальной помощи, а деятельное участие в реализации постоянных благотворительных программ. Своей основной целью мы ставим помощь и участие в становлении новой личности – свободной и уверенной в своем выборе, социально положительно адаптированной и ориентированной на дальнейшее самостоятельное развитие.
Для нас ценность благотворительности заключается в личной свободе, возможности каждого решать, на что потратить собственные деньги, собственное время и эмоции. И люди, которые хотя бы один раз вкусили этот плод – отдать свои средства на цели, не приносящие никаких материальных дивидендов, – как правило, продолжают этим заниматься всю жизнь.
Количество благотворительных организаций в России постоянно растет и нам приятно сознавать, что те, кто по разным причинам оказался в сложной жизненной ситуации, могут быть уверены – в нашей огромной стране наверняка найдутся желающие помочь в трудную минуту. Главное, чтобы эти люди встретились, наша цель – стать связующим звеном между нуждающимися в помощи и теми, кто может ее дать.
Мы открыты для сотрудничества с любыми благотворительными организациями и частными лицами. Мы не хотим ограничивать наш круг только теми, кто знаком друг с другом уже долгие годы, мы будем рады поддержать любое достойное начинание.
"
4,"Благотворительный фонд помощи детям с тяжелыми заболеваниями ""Помоги ребенку.ру""","105082, Москва, ул. Большая Почтовая, д.55/59, стр.1",37.696139,55.778315,8(495)746-01-06,info@fondpr.ru,http://fondpr.ru/,"['Неврологические и психоневрологические заболевания', 'Гематологические заболевания', 'Онкологические заболевания', 'Сердечно-сосудистые заболевания', 'Лечение заболеваний', 'Заболевания опорно-двигательного аппарата', 'Наследственные/генетические заболевания', 'Сахарный диабет', 'Редкие (орфанные) заболевания', 'Другие заболевания органов и систем (дыхания, пищеварения, слуха, зрения, мочеполовой системы, печени, кожи, инфекционные заболевания, ожоги, дефекты внешности)']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)']","
Описание благотворительной организации
Сбор средств для оплаты лечения детей с тяжелыми заболеваниями из малоимущих семей в России и за рубежом.
"
5,"НП Культурный центр ""Без границ""","115191 Москва, 4-й Рощинский проезд, 19-903",37.611311,55.705493,8(926)247-97-27,urussowa@marketkompas.ru,https://www.facebook.com/bezgraniz.couture,"['Социальная помощь', 'Реабилитация и адаптация', 'Поддержка НКО', 'Консалтинг в области филантропии для социально ответственного бизнеса']","['Подросток (12-17 лет)', 'Взрослый (18-59 лет)', 'Пожилой (старше 60 лет)', 'Инвалид']","
Описание благотворительной организации
Решаемая социальная проблема:
Культурный центр «Без Границ» занимается «ребрендингом» феномена «инвалидность»,  перенося вопрос об отношении к инвалидам из привычной области социального неблагополучия и «необходимости принятия мер» на уровень международного disability discourse, на уровень высокой эстетики, глубокого интеллектуального подхода к раскрытию темы. Инвалидность для нас – это не пандус, а космические технологии и неожиданные возможности. Люди с инвалидностью – не объекты жалости, страха или сердобольной помощи, а равноправные сограждане.
Основные направления деятельности и проекты Культурного центра:
1) Проведение международного конкурса одежды для людей с инвалидностью Bezgraniz Couture и внедрение идеи о необходимости серийного производства одежды для людей с ограничениями мобильности в сознание индустрии моды. 
- Спецпоказы на международных неделях моды, таких как Mercedes-Benz Fashion Week;
- Воркшопы по созданию одежды для людей с инвалидностью;
-образовательные проекты для дизайнеров по созданию одежды для людей с инвалидностью в партнерстве с ведущими российскими специалистами.
2) Создание специальных медиа-проектов, направленных на изменение восприятия обществом людей с инвалидностью и расширения сознания самих людей с инвалидностью: 
- ""Инопланетники"";
- ""Диалоги о другом"" (Сноб) при участии Линор Горалик, Веры Полозковой, Татьяны Толстой, Людмилы Улицкой, Ирины Ясиной;
- ""Акрополь: как я нашёл своё тело"".
3) Обеспечение доступности Рунета для людей с инвалидностью. Первым шагом в этом направлении стала подготовка Доклада о состоянии доступности ресурсов Рунета для людей с ОВЗ. Партнёры проекта: Министерство связи РФ, РАЭК, Всемирный банк, Информцентр ООН в Москве, «Фонд поддержки интернет» при КЦ РФ. 
4) «Без границ» является представителем в России международного проекта в области социального предпринимательства Dialogue Social Enterprise с его интерактивными экспозициями «Dialogue in the Dark», «Dialogue in Silence» и «Dialogue with Time».  Экспозиции являются мобильными и могут быть организованы в пространствах, которые будут удобны партнерам.
«Dialogue in the Dark»/«Диалог в темноте»
Во время выставки незрячие гиды проводят для посетителей экскурсию в специально оборудованном, абсолютно тёмном помещении, где посетители учатся взаимодействию друг с другом и пространством, полагаясь на все остальные органы чувств, кроме зрения.
Выставки проекта «Диалог в темноте» вдохновляют посетителей на изменение видения мира. Одновременно с этим проект создаёт по всему миру рабочие места как для незрячих, так и для слабовидящих людей.
В мире c 1988 (26 лет), 30 стран // 130 городов (постоянные и передвижные экспозиции), 8 000 000 посетителей; 7 000 незрячих гидов // 400 незрячих тренеров, участие в международных экономических форумах (Давос и др.).
Есть опыт реализации  выставки в России: в Сочи была реализована мини-версия выставки: 80 кв.м. выставочной площади, тема: Паралимпийские виды спорта. Павильон компании,разместившей у себя выставку, признан наиболее интересным  среди всех павильонов на Паралимпиаде в Сочи 2014, его посещаемость была в 3 раза выше запланированной.
«Dialogue with Time»/«Диалог со временем»
Это выставка, помогающая переосмыслить понятие возраста. Ее посетителям предлагается испытать на себе мир пожилых людей. В игровой форме на выставке представлены разные аспекты пожилого возраста. Гидами являются люди в возрасте от 70 до 90 лет. Они являются экспертами, которые  помогают вести этот особенный диалог между поколениями.
Целью выставки является помочь людям осознать потенциал, которым обладает преклонный возраст, и важность устранения страха, который часто ассоциируется с процессом старения. Вопреки всеобщему убеждению, старость не означает автоматически изоляцию, упадок и лишения. Возраст без сомнения является вызовом, и для всех нас это непросто, но, с другой стороны, возраст предлагает абсолютно новые перспективы и качество жизни.
5) Мюзикл «В царстве тьмы»
Это уникальное интерактивное музыкальное представление в абсолютной темноте, цель которого – помочь слушателям снять границы между мирами зрячих и слепых людей. Это Сделано в России: над проектом работает команда специалистов из разных стран, но его идея и воплощение – российские, премьера мюзикла состоится на русском языке. Мюзикл поможет зрителям понять жизнь незрячих людей и стать толерантнее друг к другу. В проекте участвует более 30 людей с нарушениями зрения.  Мюзикл ""упакован"" и полностью готов к постановке. Набрана команда, которая обеспечит его реализацию на сцене и вне ее.
Авторы уникального музыкального проекта «В царстве тьмы» - социальный предприниматель Тобиас Райзнер и джазовая певица Миша Штайнхауер. Началось с того, что Тобиас пригласил Мишу организовать серию джазовых концертов в полной темноте в специально оборудованном помещении проекта «Диалог в темноте» в Москве. Вместе с российскими музыкантами: пианистом Романом Столяром и саксофонистом Алексеем Кругловым, Миша подготовила музыкальную программу. Билеты на премьеру были распроданы за считанные дни. Аудитория с энтузиазмом встретила новую подачу музыки, которая по-новому воспринимались всеми органами чувств в отсутствие возможности видеть исполнителей.
Безопасность и комфорт гостей во время концертов обеспечивали незрячие сотрудники проекта «Диалог в Темноте». Профессиональные бизнес-тренеры прошли специальную подготовку, позволившую им работать с большими группами зрителей. 
Идея создания профессионального мюзикла в абсолютной темноте родилась после успеха этих Московских джазовых концертов, во время которых и гости и сами музыканты почувствовали удивительную магию темноты и скрытые в ней новые возможности восприятия мира и самих себя. 
Есть предварительная договоренность о проведении мюзикла в одной из крупнейших гостиниц Москвы. Мы ищем партнеров, готовых помочь реализовать этот беспрецедентный проект. В зависимости от того, как постановка будет принята слушателями, будет принято решение о мировом турне, в рамках которого представления будут даваться на разных языках. 
Достижения и награды:
Культурный центр «Без Границ» переносит вопрос об отношении к инвалидам из привычной области социального неблагополучия и «необходимости принятия мер» на уровень международный disability discurs, на уровень высокой эстетики, глубокого интеллектуального подхода к раскрытию темы. Инвалидность для нас – это не пандус, а космические технологии и неожиданные возможности. Люди с инвалидностью – не объекты жалости, страха или сердобольной помощи, а равноправные сограждане.
Мы помогаем увидеть пути к решению конкретных проблем, опираясь на знание актуального международного disability discurs, проектного менеджмента и современных технологий работы со СМИ. Для реализации наших проектов мы приглашаем только специалистов высшего уровня.
Проекты Культурного центра всегда являются магнитом для СМИ в силу своей актуальности, необычности, профессиональности исполнения и PR-работы.
Достижения НП Культурного центра «Без Границ»
 
2015–Фестиваль рекламы и маркетинговых услуг «Серебряный Меркурий», представитель в России The Globes Awards, Международной ассоциации маркетинговых агентств (MAAW).
1-е место в блоках «Креатив», «Реализация», «Стратегия и эффективность» в номинациях «Лучшее творческое решение социальной кампании для nonprofit организаций», «Лучшая реализация социальной кампании для nonprofit организаций», «Лучшее стратегическое решение социальной кампании для nonprofit организаций», Гран-при в номинациях «Реализация», «Стратегия и эффективность»

2015 - Лонг-лист премии проекта «Сноб» «Сделано в России» в номинации «Художественные проекты».
2015 - ТОП-30 проектов Национальной Программы «Лучшие социальные проекты России» в категории «Личностная номинация».

2015 - XVIII Национальная премия в области развития общественных связей «Серебряный Лучник». Победа в номинации «Лучший проект в области социальных коммуникаций и благотворительности».

2014 – The Moscow Times Awards 
Shortlist  в номинации «Личная социальная ответственность» за проект «Акрополь: как я нашёл своё тело» и фестиваль «Без Границ: Тело. Общество. Культура»

2013 - Премия Рунета 
Shortlist  в номинации «Государство и общество» за Доклад о состоянии доступности ресурсов Рунета для людей с ОВЗ.

2012 - Премия «Сноб» «Сделано в России 2012»
Номинация «Социальные проекты» за проект BezgranizCouture и сопутствующие ему проекты «Инопланетники» и «Диалоги о Другом» в журнале «Сноб».

2009 - Гран-при фестиваля Международной академии радио и телевидения IATR.
Премия имени Елены Мухиной Паралимпийского комитета РФ.
Инвестиции
Для претворения в жизнь наших уникальных проектов мы приглашаем партнёров, разделяющих социальные цели проектов и желающих изменить мир, в котором живут наши дети, к лучшему, а так же разделяющих наше мнение о том, что ключом к успеху является профессиональных подход, опирающийся на устойчивый финансовый фундамент.
Мы готовы детально рассказать о каждом проекте и его перспективах, а также вести открытый диалог о партнерстве, учитывая всесторонние интересы.
Культурный центр ""Без границ"" приглашает:
- партнёров и спонсоров вступить в ""Клуб друзей проекта Bezgraniz Couture"" для поддержания основной деятельности по пропаганде и созданию одежды для людей с инвалидностью на ежегодной основе на срок не менее 3-х лет;
- партнёров и споносров для отдельных мероприятий проекта Bezgraniz Couture, таких, как международные конкурсы одежды для людей с инвалидностью Bezgraniz Couture INTERNATIONAL FASHION AND ACCESSORIES AWARD (проводятся раз в год в Москве и за рубежом).
-партнёров и спонсоров ""Диалогов"", проводимых в России.
"
6,"Благотворительный фонд помощи детям и взрослым с пороками развития черепно-челюстно-лицевой области ""Ваша надежда""","121351, Москва, ул. Ярцевская, д. 3",37.406747,55.735079,8(499)726-36-36,info@vasha-nadezhda.org,http://www.vasha-nadezhda.org/,"['Социальная помощь', 'Реабилитация и адаптация', 'Лечение заболеваний', 'Другие заболевания органов и систем (дыхания, пищеварения, слуха, зрения, мочеполовой системы, печени, кожи, инфекционные заболевания, ожоги, дефекты внешности)']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Инвалид', 'Сирота']","
Описание благотворительной организации
Фонд оказывает помощь детям и молодым людям с врождёнными пороками черепно-челюстно-лицевой области - расщелинами верхней губы и нёба, нарушениями слуха и аномалиями ушной раковины.
Страдания, которые испытывают наши пациенты, связаны с нарушением дыхания, трудностями кормления, нарушениями слуха и речи, косметическими дефектами, и, как последствие, эмоциональными расстройствами.
Своевременно оказанное высококвалифицированное хирургическое лечение с последующей комплексной реабилитацией позволяет устранить косметический дефект и обеспечить возможности нормального роста и развития ребенка, вести полноценную жизнь, быть абсолютно здоровым, социально-адаптированным и востребованным в обществе.
"
7,Благотворительный фонд по поддержке и развитию спорта в Свердловской области им. А.В. Шипулина,"620049, Свердловская область, Екатеринбург, пер. Автоматики, д. 1Б",60.663671,56.84867,8(343)350-84-44,fondshipulina@yandex.ru,http://fondshipulina.ru/,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации', 'Правовая поддержка', 'Нефинансовая/гуманитарная помощь', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Взрослый (18-59 лет)', 'Пожилой (старше 60 лет)', 'Сирота', 'Малоимущий/безработный/многодетная семья']","
Описание благотворительной организации
Способствовать оздоровлению и стабильному развитию общества через реализацию спортивных программ на территории Свердловской области, делая занятия спортом доступными для всех слоев населения.
Источник информации: http://fondshipulina.ru/
"
8,"Некоммерческая организация ""Фонд поддержки местного сообщества ""Территория успеха""","617060, Пермский край, Краснокамск, ул. Энтузиастов, д. 24",55.890401,58.059203,8(922)649-05-70,fonduspeh@mail.ru,http://permfond.ru/,"['Консалтинг в области филантропии для социально ответственного бизнеса', 'Поддержка НКО']",['Взрослый (18-59 лет)'],"
Описание благотворительной организации
Основная миссия: создание условий для эффективной деятельности некоммерческих организаций и инициативных групп Краснокамского района Пермского края.
Задачи деятельности фонда:
- оказание консультационной помощи;
- организация обучающих мероприятий для специалистов НКО;
- организация информациооной поддержки НКО;
- организация сопровождения отдельных проектов и программ НКО.
Функции фонда:
- ресурсная поддержка инициативных групп населения, НКО;
- благотворительная деятельность;
- коммерческая деятельность.
Источник информации: http://permfond.ru/
"
9,"Фонд помощи детям ""Берегиня""","129223, Москва, просп. Мира , д. 119 (ВВЦ, пав. 71)",37.637678,55.826312,8(919)968-09-02,None,None,"['Социальная помощь', 'Психологическая помощь', 'Реабилитация и адаптация', 'Помощь в тяжелой жизненной ситуации', 'Нефинансовая/гуманитарная помощь', 'Волонтерская помощь']","['Ребенок (0-11 лет)', 'Подросток (12-17 лет)', 'Сирота']","
Описание благотворительной организации
Фонд помощи детям ""Берегиня"" оказывает разностороннюю помощь и поддержку детям с особенностями развития, детям-сиротам и детям-инвалидам.
Источник информации: http://www.rusprofile.ru/id/242387
"
