,E-mail,Web-сайт,affiliation,link,name,Администратор приходов,Адрес,Благочинный,Викарный архиерей,Временный управляющий,Глава Митрополичьего округа,Глава митрополии,Главный редактор,Город,Дата создания,Дочерние организации,Дочерняя организация,Заведующий Сектором межрелигиозных контактов,Заведующий Сектором по взаимодействию с Росгвардией,Заведующий сектором теологического образования,Заместитель главы,Заместитель председателя,Заместитель руководителя,Заместитель управляющего делами,И.о. представителя,Исполнительный директор,Исполнительный секретарь,Ключарь,Наместник,Настоятель,Настоятельница,Начальник миссии,Описание,Ответственный секретарь,Патриарший экзарх,Первоиерарх,Первый викарий Патриарха Московского и всея Руси по г. Москве,"Первый заместитель председателя, главный инспектор",Первый заместитель председателя,Первый заместитель управляющего делами,Первый проректор,Почетный настоятель,Правящий архиерей,Председатель Попечительского совета,Председатель комиссии,Председатель правления фонда,Председатель правления,Председатель редакционного совета,Председатель,Представитель Русской Православной Церкви,Предстоятель,Президент,Преподаватель,Профессор,Ректор,Родительская организация,Руководитель Управления по работе с общественными организациями,Руководитель Юридической службы,Руководитель,Священноархимандрит,Секретарь Патриарха Московского и всея Руси по г. Москве,Секретарь,Сопредседатель,Страна,Телефон,Управляющий делами,Управляющий епархией,Управляющий приходами,Управляющий,Факс
0,abakan-eparchy@mail.ru,www.abakan-eparchy.ru,Епархии,http://www.patriarchia.ru/db/text/31086.html,Абаканская епархия,,"655012, Россия, Республика Хакасия, г. Абакан, ул. Катанова, 5",,,,,,,Абакан,17 июля 1995 г.,,,,,,,,,,,,,,,,,,"Объединяет приходы на территории Республики Хакасия. Решением Священного Синода от 5-6 октября 2011 г. ( журнал № 102 ) из состава Абаканской епархии выделена  Кызыльская епархия . Правящему архиерею Абаканской епархии Синод постановил иметь титул «Абаканский и Хакасский». Историческая справка Епархия сегодня (по состоянию на январь 2013 года) Благочиния и благочинные Абаканское городское — протоиерей Сергий Тимонов Черногорское — и.о. протоиерей Александр Фоминых Северное — игумен Лазарь (Казанцев) Саяногорское — иерей Рустик Мшенецкий Юго-Западное — иерей Вадим Меньшов При Богородице-Рождественском храме  (655162, Республика Хакасия, г. Черногорск, ул. Ленина, 10а; тел. (3903) 26-49-49,  e - mail   brp-chernogorsk@mail.ru ) создается  женская монашеская община . В епархии насчитывается 80  приходов , 61 храм и четыре часовни. Из них четыре храма — на территории исправительных колоний и Управления федеральной службы наказаний, четыре храма — при учреждениях; четыре домовых храма. Большинство приходов открыты недавно, многие располагаются в приспособленных для совершения богослужений помещениях бывших магазинов, детских садов и т.п. Послушания несут 46  клириков , в том числе: священников — 36 диаконов — 10. Монашествующих  клириков — 6. Социальные учреждения Сестричество милосердия при пансионате ветеранов в г. Абакане (организовано в феврале 2004 года). Число сестер — 16 человек. Средства массовой информации официальный сайт Абаканской епархии «Доброе сокровище» (приложение к газете «Хакасия», выходит дважды в месяц) «Лампадка» (ежемесячная газета для детей) «Лествица» (ежемесячная газета для молодежи) «Преображенский листок» (еженедельное издание) «Сын Сабаныстыг Киртiнiс» («Православная вера» — ежемесячная газета на хакасском языке) Печатные издания и сайты имеются также у ряда приходов епархии. Учебные заведения НГОУ «Православная гимназия имени святителя Иннокентия Московского» г. Абакан, ул. Пирятинская, 8; тел./факс (3902) 29-46-32, сайт  pgisim.ru В 2012 году были организованы двухгодичные вечерние епархиальные курсы по подготовке кандидатов в священство и псаломщиков.",,,,,,,,,,"Ионафан, архиепископ Абаканский и Хакасский (Цветков Игорь Васильевич)",,,,,,,,,,,,,,,,,,,,,Россия,"(3902) 24-29-47 (канцелярия), 24-37-10 (секретарь)",,,,,(3902) 24-29-15
1,adm@patriarchia.ru,,Московская Патриархия,http://www.patriarchia.ru/db/text/961771.html,Административный секретариат Московской Патриархии,,"115191, Москва, Даниловский вал, 22",,,,,,,Москва,1 апреля 2009 г.,,Комиссия по координации выставочной деятельности Русской Православной Церкви,,,,,,Куксов Михаил Геннадьевич,,,,,,,,,,"Образован согласно  распоряжению  Святейшего Патриарха Московского и всея Руси Кирилла от 1 апреля 2009 года. Секретариат отвечает за решение в рамках Патриархии административных, хозяйственных, кадровых, юридических, протокольных и информационных вопросов. Руководитель —  архиепископ Солнечногорский Сергий . Заместитель руководителя —  М.Г. Куксов , председатель Молодежного отдела  Московской городской епархии .",,,,,,,,,,,,,,,,,,,,,,,,,,"Сергий, архиепископ Солнечногорский, викарий Святейшего Патриарха Московского и всея Руси (Чашин Николай Николаевич)",,,,,Россия,(499) 578-03-58,,,,,
2,alat-eparhia@mail.ru,http://alat-eparhia.ru,Епархии,http://www.patriarchia.ru/db/text/2511388.html,Алатырская епархия,,"429820, Россия, Чувашская Республика, г. Алатырь, ул. Ленина, 132",,,,,,,Алатырь,4 октября 2012 г.,,,,,,,,,,,,,,,,,,"Входит в состав  Чувашской митрополии Образована решением Священного Синода от 4 октября 2012 г. ( журнал № 91 ) путем выделения из состава  Чебоксарской епархии . Включена в состав Чувашской митрополии. Объединяет приходы в административных границах Алатырского, Батыревского, Ибресинского, Порецкого и Шемуршинского районов Чувашской Республики. Епархия сегодня (по состоянию на январь 2013 года) Благочиннические округа и благочинные I (Алатырский район и г. Алатырь) — протоиерей Владимир Теплов, настоятель храма Рождества Пресвятой Богородицы г. Алатырь II (Порецкий район) — протоиерей Павел Гуцаев, настоятель Свято-Троицкого собора с. Порецкое III (Батыревский район) — протоиерей Сергий Пегасов, настоятель храма Рождества Христова с. Первомайское IV (Шемуршинский район) — протоиерей Николай Чувашов, настоятель храма Рождества Христова с. Шемурша V (Ибресинский район) — протоиерей Пантелеимон Пегасов, настоятель храма Покрова Пресвятой Богородицы с. Климово Монастыри и подворья Свято-Троицкий мужской 429800, Чувашская Республика, г. Алатырь, ул. Троицкая, 22; тел. (83531) 2-38-14; e-mail  astmm@mail.ru наместник — архимандрит Иероним (Шурыгин) храм Рождества Христова 429800, Чувашская Республика, г. Алатырь, ул. Троицкая, 22; e-mail  astmm@mail.ru игумен Пимен (Полищук) Киево-Николаевский Новодевичий женский 429822, Чувашская Республика, г. Алатырь, ул. Кирова, 25; тел. (83531) 2-51-32 настоятельница — игумения Елисавета (Кривошеева) В епархии насчитывается 64  прихода . Общее количество  клириков  и  монашествующих  — 161, в том числе: клириков — 66 монашествующих — 95 Епархиальные социальные учреждения Центр защиты семьи, детства и материнства «Благовещение» при храме Усекновения главы Иоанна Предтечи Республика Чувашия, г. Алатырь, пл. Октябрьской революции,8; тел. +7937 397-87-53; e-mail  blagovest_live@mail.ru Дом милосердия во имя преподобномученицы Елисаветы при храме Иверской иконы Божией Матери Республика Чувашия, г. Алатырь, ул. Ленина, 132; тел. (8) 83531 25306; (8) 83531 25320; e-mail  ivera-alatyr@mail.ru Епархиальные СМИ официальный сайт  Алатырской епархии «Православный Алатырь» (ежемесячный духовно-просветительский вестник) «Цветник духовный» (еженедельная телепередача)",,,,,,,,,,"Феодор, епископ Алатырский и Порецкий (Белков Александр Михайлович)",,,,,,,,,,,,,,,,,,,,,Россия,(83531) 2-53-06; 2-53-20 (канцелярия),,,,,
3,,http://orthodoxalbania.org,Поместные Церкви,http://www.patriarchia.ru/db/text/134409.html,Албанская Православная Церковь,,Kisha Othodokse 151 Rruga e Kavejes Tirana — Albania,,,,,,,Тирана,,,,,,,,,,,,,,,,,,,"Первые сведения о существовании христианства в Албании относятся к III веку. Однако первая епископская кафедра Албанской Церкви учреждена в X веке благодаря миссионерским трудам учеников святых братьев Кирилла и Мефодия — Климента (+916) и Наума (+910). С конца IX века Албанская Церковь находилась в юрисдикции Болгарской Православной Церкви. С 1767 года она была подчинена Константинопольскому Патриарху. В 1926 году Албанской Православной Церкви была дарована автономия, 12 апреля 1937 года — автокефалия. При коммунистическом режиме Энвера Ходжи Албанская Православная Церковь наряду с другими конфессиями подверглась жестоким гонениям. Возрождение началось в 1991 году, когда Константинопольский Патриархат поставил для Албанской Церкви епископов и назначил Предстоятеля. Каноническая территория — Албания. Основная масса прихожан проживает в южных районах страны (в центре и на севере преобладает ислам). В богослужении используется албанский, греческий и арумынский (влахский) языки. Возглавляющий ныне Албанскую Церковь 4-й ее Предстоятель Блаженнейший Архиепископ Анастасий (Яннулатос) родился 4 ноября 1929 года в Греции. 19 ноября 1972 года он был хиротонисан во епископа Андрусского. Избрание Блаженнейшего Анастасия Предстоятелем Албанской Православной Церкви состоялось 24 июня 1992 года, чин интронизации был совершен 2 августа того же года. Титул Предстоятеля: Блаженнейший Архиепископ Тиранский и всей Албании, Митрополит Тирано-Дуррес-Елвасанский. Резиденция Предстоятеля находится в Тиране. Епархии Албанской Церкви Тирано-Дурресско-Эльбасанская епархия  Кафедра: г. Тирана  Правящий архиерей: архиепископ Тиранский и всей Албании Анастасий (Яннулатос) Корчинская епархия  Кафедра: г. Корча  Правящий архиерей: епископ Корчинский Иоанн (Пелуши) Берато-Влеро-Канинская епархия   Кафедра: г. Берат  Правящий архиерей: епископ Бератский Игнатий (Триантис) Гирокастринская епархия  Кафедра: г. Гирокастра  Вдовствующая кафедра",,,,,,,,,,,,,,,,,,"Анастасий, Блаженнейший Архиепископ Тиранский и всей Албании (Яннулатос)",,,,,,,,,,,,,Албания,,,,,,
4,eparhiyamaterials@gmail.com,http://alexandria-eparhia.org.ua,Епархии,http://www.patriarchia.ru/db/text/134627.html,Александрийская епархия,,"28000, Украина, Кировоградская область, г. Александрия, ул. Кременчугская, Покровский собор",,,,,,,Александрия,27 июля 2007 г.,,,,,,,,,,,,,,,,,,Образована решением Священного Синода УПЦ от 27 июля 2007 г. путем выделения из состава  Кировоградской епархии . Епархиальному архиерею Синод постановил иметь титул «Александрийский и Светловодский».,,,,,,,,,,"Боголеп, епископ Александрийский и Светловодский (Гончаренко Валерий Валерьевич)",,,,,,,,,,,,,,,,,,,,,Украина,"(05235) 7-90-00, +380665488496 (кафедральный собор)",,,,,
5,info@patriarchateofalexandria.com,www.patriarchateofalexandria.com,Поместные Церкви,http://www.patriarchia.ru/db/text/134420.html,Александрийская Православная Церковь,,P.O.Box 2006 Alexandria EGYPT,,,,,,,Александрия,,,Храм Всех святых на Кулишках в Москве (подворье Александрийской Православной Церкви),,,,,,,,,,,,,,,,"Историческая справка Александрийская Церковь основана святым апостолом и евангелистом Марком. С 451 г. Александрийская Церковь является Патриархатом, третьим по значению после Римской кафедры и Константинополя. Однако уже в конце V — нач. VI вв. Александрийская Церковь была сильно ослаблена монофизитской ересью. С VII в. она окончательно пришла в упадок в связи с арабским нашествием, чему впоследствии способствовало и создание Османской империи. До последнего времени Церковь находилась в сильной церковной зависимости от Константинополя. История ее овеяна немеркнущей славой. Она дала христианскому миру великих учителей и борцов за Православие — святителей Афанасия Великого (†373) и Кирилла Александрийского (†444). Из этой Церкви вышли знаменитые богословы — пресвитер Климент Александрийский († ок. 216) и его преемник Ориген (†251), ставшие основателями научного богословия и положившие начало воцерковлению языческой эллинской культуры и философии. Александрийская Церковь является родиной монашества. На ее священной земле подвизались основоположник восточного иночества преподобный Антоний Великий (†356), первый устроитель общежительного монашества преподобный Пахомий Великий (†348), знаменитые египетские аввы Паисий Великий (†400), Пимен Великий (†450) и др. Современное положение Каноническая территория Александрийской Церкви — страны Северной, Центральной и Южной Африки. В настоящее время в Александрийском Патриархате насчитывается 27 митрополий и 4 епископии. С 24 октября 2004 г. Церковь возглавляет Феодор II, 116-й Папа и Патриарх великого града Александрии, Ливии, Пентаполя, Эфиопии, всего Египта и всей Африки. Титул Предстоятеля: «Его Блаженство Папа и Патриарх Великого Града Александрии, Ливии, Пентаполя, Эфиопии, всего Египта и всей Африки, Отец Отцов, Пастырь Пастырей, Архиерей Архиереев, Тринадцатый Апостол и Судия Вселенной». Патриаршая резиденция находится в Александрии. *** Епархии Аксумская епархия Кафедра: Аддис-Абеба (Эфиопия) Страны: Эфиопия, Эритрея, Джибути, Сомали Митрополит Петр Аксумский Найробинская епархия Кафедра: Найроби (Кения) Митрополит Макарий Найробинский Кампальская и Угандийская епархия Кафедра: Кампала (Уганда) Митрополит Иона Кампальский и Угандийский Зимбабвийская и Ангольская епархия Кафедра: Хараре (Зимбабве) Страны: Зимбабве, Ангола Митрополит Зимбабвийский и Ангольский Серафим Нигерийская епархия Кафедра: Лагос (Нигерия) Митрополит Александр Нигерийский Трипольская епархия Кафедра: Триполи (Ливия) Митрополит Феофилакт Трипольский и Ливийский Кейптаунская епархия Кафедра: Кейптаун (ЮАР) Митрополит Сергий Мыса Доброй Надежды (Кейптаунский) Киринская епархия Митрополит Афанасий Киринский, Патриарший Экзарх при Московском Патриархате Карфагенская епархия Кафедра: Тунис (Тунис) Митрополит Алексий Карфагенский Мванзская епархия Кафедра: Мванза (Танзания) Митрополит Иероним Мванзский Гвинейская епархия Кафедра: Конакри (Гвинея) Страны: Гвинея, Гамбия, Гвинея-Бисау, Либерия, Кабо-Верде, Сенегал, Сьерра-Леоне Митрополит Георгий Гвинейский Эрмопольская епархия Кафедра: Танда (Египет) Митрополит Николай Гермопольский Дар-эс-Саламская епархия Кафедра: Дар-эс-Салам (Танзания) Страны: Восточная Танзания, Сейшельские острова Митрополит Димитрий Дар-эс-Саламский и Сейшельских островов Замбийская и Малавийская епархия Кафедра: Лусака (Замбия) Страны: Замбия, Малави Митрополит Иоанн Замбийский и Малавийский Йоханнесбургская и Преторийская епархия Кафедра: Йоханнесбург (ЮАР) Митрополит Дамаскин Йоханнесбургский и Преторийский Мадагаскарская епархия Кафедра: Антананариву (Мадагаскар) Митрополит Игнатий Мадагаскарский Птолемаидская епархия Кафедра: Миниа (Верхний Египет) Митрополит Эммануил Птолемаидский Камерунская и Центральноафриканская епархия Кафедра: Яунде (Камерун) Страны: Камерун, Чад, ЦАР, Экваториальная Гвинея, Сан-Томе и Принсипи Митрополит Григорий Камерунский и Центральноафриканский Леонтопольская епархия Кафедра: Исмаилия (Египет) Митрополит Гавриил Леонтопольский Мемфисская епархия Кафедра: Гелиополь, (Каир, Египет) Митрополит Никодим Мемфисский Катангская епархия Кафедра: Лубумбаши (Катанга, Конго) Митрополит Мелетий Катангский Нилупольская епархия (титулярная) Митрополит Геннадий Нилупольский Илиупольская епархия (титулярная) Митрополит Феодор Илиупольский Аккрская епархия Кафедра: Аккра (Гана) Страны: Гана, Кот-д΄Ивуар, Мали, Буркина Фасо Митрополит Наркисс Аккрский Пелусийская (Порт-Саид) епархия Кафедра: Порт-Саид (Египет) Митрополит Нифон Пелусийский Киншасская епархия Кафедра: Киншаса (ДР Конго) Конго без епархии Катанги Митрополит Никифор Киншасский Нубийская и Суданская епархия Кафедра: Хартум (Судан) Страны: Судан, Южный Судан Митрополит Савва Хартумский и всего Судана *** Епископии Мозамбикская епископия Кафедра: Мапуто (Мозамбик) Епископ Хризостом Мозамбикский Браззавильская и Габонская епископия Кафедра: Пуэнт-Нуар (Республика Конго) Страны: Республика Конго, Габон Епископ Пантелеимон Браззавильский и Габонский Бурундийская и Руандская епископия Кафедра: Бужумбура (Бурунди) Страны: Бурунди, Руанда Епископ Иннокентий Бурундийский и Руандский Ботсванская епископия Кафедра: Габороне (Ботсвана) Епископ Василий Ботсванский *** Монастыри В Александрии (Египет) — Патриарший монастырь святого Саввы Освященного Наместник: Епископ Мелетий Навкратиадский Тел.: 00203-4861744 В Каире (Египет) — Мужской монастырь святителя Николая Наместник: митрополит Никодим Мемфисский Тел.: 00202-25103516 В Старом Каире (Египет) — Мужской монастырь святого Георгия Наместник: Митрополит Пелусийский Нифон Тел.: 00202-23631340 Подворье в Афинах (Греция) — Женский монастырь святителя Нектария Настоятельница: игумения Феонимфи Тел.: 6611023 В г. Порто-Ново (Бенин) — Женский монастырь Покрова Пресвятой Богородицы Настоятельница: монахиня Мария-Агния На Мадагаскаре — Женский монастырь преподобного Силуана Афонского Настоятельница: монахиня Христодула *** Викарные епископы Епископ Мелетий Навкратиадский Епископ Афанасий Кисуму и Западной Кении Епископ Неофит Ньери и Кенийских гор Епископ Никодим Нитрийский *** Подробнее об истории Александрийской Православной Церкви  см. на сайте представительства в Каире .",,,,,,,,,,,,,,,,,,"Феодор II, Блаженнейший Патриарх Александрийский и всей Африки (Хорефтакис Николас)",,,,,,,,,,,,,Египет,+ 2 03 4868595,,,,,+ 2 03 4875684
6,alex.eparh@mail.ru,www.alex-u.ru,Епархии,http://www.patriarchia.ru/db/text/3103923.html,Александровская епархия,,"601650, Россия, Владимирская область, г. Александров, пер. Советский, 6",,,,,,,Александров,16 июля 2013 г.,,,,,,,,,,,,,,,,,,"Входит в состав  Владимирской митрополии Образована решением Священного Синода от 16 июля 2013 г. ( журнал № 75 ) путем выделения из состава  Владимирской епархии . Объединяет приходы в административных границах Александровского, Киржачского, Кольчугинского, Петушинского и Юрьев-Польского районов Владимирской области. Правящему архиерею Синод постановил иметь титул «Александровский и Юрьев-Польский». Епархия сегодня   (по состоянию на октябрь 2014 года) Благочиния и благочинные Александровское — протоиерей Олег Михайлов Киржачское — протоиерей Дмитрий Ершов Кольчугинское — протоиерей Анатолий Балыкин Петушинское — протоиерей Сергий Березкин Юрьев-Польское — протоиерей Сергий Соловьев Монастырские благочиния и благочинные Александровское — игумен Тихон (Шибеко) Киржачское – игумен Серафим (Семилетов) Юрьевское — игумен Серафим (Котенёв) Количество юридически зарегистрированных  приходов  — 73. Храмов — 156, молитвенных домов, комнат — 8, часовен — 37, молитвенных помещений в учреждениях — 16. Монастыри мужские: Лукианова пустынь   601611, Александровский район, дер. Лукьянцево, п/о Бакшеево; тел./факс (49244) 2-66-89; e-mail info@slpustin.ru; сайт  slpustin.ru   наместник — игумен Тихон (Шибеко) Свято-Смоленская Зосимова пустынь   601606, Александровский район, ст. Арсаки, п/о Плеханы; тел. (49244) 9-47-11  настоятель — игумен Серафим (Семилетов) Успенский Космин   601810, Юрьев-Польский район, сел. Небылое; тел./факс (49246) 5-41-55  настоятель — игумен Серафим (Котенёв) Введенский Никоновский   601800, г. Юрьев-Польский, Каланчевский пер., 5  настоятель — иеромонах Филофей (Машнин) Михаило-Архангельский   601800, г. Юрьев-Польский, ул. 1 Мая; тел./факс (49246) 2-16-51  настоятель — игумен Афанасий (Селичев) женские: Успенский   601600, г. Александров, ул. Советская, 15; тел. (49244) 2-34-80, 2-05-75, 3-03-21 (канцелярия); факс 2-41-99  настоятельница — игумения Иоанна (Смуткина) Введенская Островская пустынь   601120, Петушинский район, г. Покров, п/о Введенское; тел. (49243) 6-31-36  настоятельница — игумения Феврония (Маратканова) Юрьев-Польский Свято-Никольский   601807, Юрьев-Польский район, сел. Новое, п/о Хвойный  настоятельница — схимонахиня Ольга (Алёшина) Благовещенский   601010, г. Киржач, ул. Гагарина, 27; тел.: (49237) 2-22-11, 2-22-33  настоятельница — игумения Феодора (Трубач) Скорбященский   601017, Киржачский район, дер. Хмелево, ул. Центральная, 79; тел. (49237) 7-33-16  настоятельница — игумения Магдалина (Лушина)  Количество клириков епархии священников — 113 иеромонахов и иеродиаконов в мужских монастырях — 36 диаконов – 14 Образовательные учреждения православная гимназия г. Петушки   Владимирская область, г. Петушки, ул. Вокзальная; тел. (49243) 2-18-94  директор — иерей Артемий Исмаилов, настоятель Свято-Афанасиевского храма г. Петушки Епархиальные СМИ официальный сайт  Александровской епархии",,,,,,,,,,"Иннокентий, епископ Александровский и Юрьев-Польский (Яковлев Яков Яковлевич)",,,,,,,,,,,,,,,,,,,,,Россия,(49244) 2-37-11,,,,,(49244) 2-37-11
7,al-monastyr@mail.ru,www.hram-ks.ru,Ставропигиальные монастыри,http://www.patriarchia.ru/db/text/3456372.html,Алексеевский ставропигиальный женский монастырь,,"107140, г. Москва, 2-й Красносельский пер., д. 7",,,,,,,Москва,1358 г.,,,,,,,,,,,,,,,,"Ксения, игумения (Чернега Оксана Александровна)",,"Свое начало Алексеевский монастырь ведет с середины XIV в., когда был основан по благословению святителя Алексия, митрополита Киевского, Московского и всея Руси. Монастырь был посвящен святому Алексию, человеку Божию. За свою многовековую историю обитель не раз переносилась с места на место. В Красном селе она обосновалась по благословению святителя Филарета (Дроздова), митрополита Московского, в 1837 году. С приходом к власти большевиков обитель была разорена и упразднена. В 1937-1938 гг. насельницы были арестованы и сосланы, некоторые приговорены к расстрелу. Послушницы Анна и Матрона (Макандины) и Евфросиния (Тимофеева) ныне причислены к лику новомучеников и исповедников Российских. Возрождение обители началось в 1991 г., когда при храме Всех святых в Красном селе г. Москвы был учрежден приход. В 2010 г. при нем было создано сестричество во имя святого Алексия, человека Божия. В 2012 г. оно было преобразовано в монашескую общину. Священный Синод на заседании 16 июля 2013 г. принял решение ( журнал № 91 ) об открытии Алексеевского ставропигиального женского монастыря г. Москвы. Указом Святейшего Патриарха Московского и всея Руси Кирилла от 21 ноября 2013 г. в целях духовного окормления насельниц Алексеевского монастыря и прихожан при храме свт. Тихона Задонского, расположенного по адресу: г. Москва, Майский просек, д. 5, ПКО «Сокольники», был учрежден скит Алексеевского монастыря. *** Настоятельница —  игумения Ксения (Чернега) . Старший священник и духовник — протоиерей Артемий Владимиров.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,+7 (499) 264-11-70 (дежурный),,,,,
8,education@mitropolia.kz,http://seminaria.kz,Научные и образовательные организации,http://www.patriarchia.ru/db/text/1405421.html,Алма-Атинская духовная семинария,,"Республика Казахстан, г. Алматы, микрорайон Дорожник, дом 29",,,,,,,,26 июля 2010 г.,,,,,,,,,,,,,,,,,,"Алма-Атинское епархиальное духовное училище было образовано определением Священного Синода от 29 января 1991 года. Первоначально училище располагалось при Свято-Никольском соборе г. Алма-Аты и предполагало двухгодичный период обучения. В 1996 году учебному заведению было передано здание бывшего детского сада в микрорайоне «Дорожник». В том же году при училище был открыт храм во имя святителя Московского Филарета. 17 июля 2001 года определением Священного Синода срок обучения в духовном училище был продлен до четырех лет. С момента открытия и до 1998 года ректором училища был протоиерей Валерий Захаров, кандидат богословия, настоятель Никольского собора г. Алма-Аты. С 1999 года исполнение обязанностей ректора было возложено на  архиепископа Алма-Атинского и Семипалатинского Алексия , который занимал эту должность вплоть до своего назначения на Тульскую кафедру. С 2003 по 2010 год обязанности ректора исполнял  митрополит Астанайский и Алма-Атинский Мефодий  (ныне Пермский и Соликамский). 26 июля 2010 года решением Священного Синода Русской Православной Церкви училище  было преобразовано  в Алма-Атинскую духовную семинарию. Ректором новообразованной духовной школы назначен кандидат богословия  архимандрит Геннадий (Гоголев)  (ныне епископ Каскеленский, викарий  Астанайской епархии ), с освобождением его от должности ректора Костромской духовной семинарии ( журнал № 79 ). В сентябре 2010 года состоялись первые вступительные экзамены в новообразованную семинарию. На первый курс очного и заочного отделения было принято 38 студентов из разных городов и епархий Казахстана. Алма-Атинская духовная семинария — духовное учебное заведение, готовящее клириков, регентов и псаломщиков для приходов  Митрополичьего округа Русской Православной Церкви в Республике Казахстан . В семинарии действуют два отделения: пастырское и регентское с очной и заочной формами образования. В программу обучения входит изучение Священного Писания, литургики, гомилетики, догматических, церковно-исторических и других дисциплин, русского, английского и казахского языка и истории Казахстана.",,,,,,,,,,,,,,,,,,,,,,,Астанайская епархия,,,"Геннадий, епископ Каскеленский, викарий Астанайской епархии (Гоголев Михаил Борисович)",,,,,Казахстан,+7 (727) 298 94 71 (приемная ректора),,,,,+7 (727) 298 91 75
9,,,Митрополии,http://www.patriarchia.ru/db/text/4077443.html,Алтайская митрополия,,,,,,,"Сергий, митрополит Барнаульский и Алтайский (Иванников Сергей Иванович)",,Барнаул,5 мая 2015 г.,,,,,,,,,,,,,,,,,,"Образована решением Священного Синода от 5 мая 2015 г. ( журнал № 5 ) в пределах Алтайского края. Включает  Барнаульскую ,  Бийскую ,  Рубцовскую  и  Славгородскую  епархии.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,,,,,,
